Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category,Borough
McCool's,4ea1dec6b6347b99678c56b2,40.84717429667539,14.230229463737533,Gastropub,Vomero
Farmacia De Tommasis,4de8b2f5c65b72347a1588e8,40.853559999999995,14.23008,Pharmacy,Arenella
Bar Spaziale,4d20c162bdd7a0932f05f0ce,40.850592014717954,14.2273332712699,Concert Hall,Arenella
May Freends,4d98b0f3647d8cfa3c81f53d,40.85060852560301,14.227390937567925,Pizza Place,Arenella
Campania Felix - Migliaro - Prodotti Biologici,4faba7ebe4b0381a48d03275,40.8509644163269,14.227924576198983,Health Food Store,Arenella
Villa Lucrezio,4f9e7face4b02aa9c1982fcf,40.847988376917755,14.21594089382215,Italian Restaurant,Arenella
Trattoria Totó Eduardo e Pasta e Fagioli,4e99d49c02d5df1b50008efe,40.8483137360325,14.241328640111314,Trattoria/Osteria,Montecalvario
Pedamentina a San Martino,51bdcd98498e3cd961ee0363,40.84566924790632,14.243528331935304,Trail,Montecalvario
Scaturchio,4c72dcf80e8cbfb7d31c05db,40.846959981448705,14.24579126174964,Dessert Shop,Montecalvario
Piazza Montesanto,4ede486d29c2b9122cf4d74e,40.84733404888337,14.245808294922107,Plaza,Montecalvario
Frank Malone,4bdb3c982a3a0f475010aeb6,40.845851445673006,14.237177371144067,Pub,Vomero
Ristorante Renzo e Lucia,4e0244ee1f6ef39c2945d3ac,40.845211792873904,14.238995240126467,Italian Restaurant,Montecalvario
Fiorenzano Pizzaioli Dal 1897,5a9d9cdfe075506f4a08cf0a,40.847218,14.246012,Pizza Place,Montecalvario
Parco Viviani,4d68e1dbfd7ea35dc6f39d4a,40.848563866938136,14.239347189697313,Park,Montecalvario
Fuori Menú,4f91c1d1e4b0ff5a51daa9be,40.85006685362685,14.236048617985427,Sandwich Place,Arenella
Fabiolotto,4d83f52481fdb1f74274f2bf,40.84973320803419,14.235736364693205,Snack Place,Arenella
Starita,4b7d8f92f964a520d3c62fe3,40.8560086738344,14.246328899549527,Pizza Place,Stella
Cantina del Gallo,4c59ad992091a5931e7f5dd0,40.8577400395247,14.244847297668455,Pizza Place,Avvocata
Bar e Pasticceria Luigi Esposito,4c70975fb5a5236af9f95052,40.85349949333599,14.246174792533296,Bakery,Avvocata
Follie Di Caffe,4fa777efe4b028d55b79bb62,40.851267172983476,14.242361957473712,Café,Avvocata
Pasticceria Benincasa,50d3508ce4b0e5585f124c43,40.86048849382126,14.227612340588665,Dessert Shop,Arenella
Hotel Correra 241 Lifestyle,4bc887b4dc55eee14388e8ac,40.850974909987606,14.249111867318295,Hotel,Avvocata
Vitto pitagorico,576bd379498e2dd64d2a49a6,40.852897,14.249814,Vegetarian / Vegan Restaurant,Stella
Metro Materdei (L1),4c44441cfb6eb713096a4e4a,40.85566508560797,14.242742356396187,Metro Station,Avvocata
Teatro Bolivar,4d614ba45b276dcb843221c6,40.85675963102303,14.243224953493323,Theater,Avvocata
Piazza Museo,580dbf2638fa948f645f8abf,40.852985,14.250237,Plaza,Stella
Museo Archeologico Nazionale,4c1907a2d4d9c9282d53f029,40.85317532862563,14.250722659768062,History Museum,Stella
Hotel Piazza Bellini,4bcb6ffd0687ef3b91bfddcc,40.850463483903475,14.251416073289725,Hotel,San Lorenzo
slash napoli,54936f72498efdb6a1110c4f,40.85063004463701,14.250610070271854,Bar,San Lorenzo
Libreria Berisio,550ee593498e446e1f0f8318,40.84940538217767,14.25114938774787,Bookstore,San Lorenzo
Teatro Bellini,4cf287891c158cfa7c2ad8b5,40.851234846534815,14.250920505739751,Theater,San Lorenzo
Galleria Principe di Napoli,4d434a30e5f5548161a5fb17,40.85199620964146,14.250299445136205,Shopping Mall,San Lorenzo
Spazio Nea,4eaaf65861af01ea2a95dd2d,40.850177760012016,14.25206763107147,Art Gallery,San Lorenzo
Port'Alba,4fb4d69de4b0fbb02d93b67e,40.84944801189313,14.250506163021054,Historic Site,San Giuseppe
Piazza Vincenzo Bellini,4dfd4a49814df5e64def751a,40.84984303480388,14.252102126254087,Plaza,San Lorenzo
Piazza Dante,4bf78ff9b182c9b6acff755a,40.849016483386066,14.250187996123818,Plaza,San Giuseppe
Ristorante Al 53,4c8cba3df0ce236a03a11aef,40.84866771544055,14.250225632431464,Italian Restaurant,San Giuseppe
Osteria Carmela,4d7cb882136bf04d6efa638d,40.85117,14.2513,Italian Restaurant,San Lorenzo
Conservatorio di musica San Pietro a Majella,4d1088c55584f04d7d315816,40.849734171080826,14.252173164939554,Music School,San Lorenzo
Perditempo,4b8e61dbf964a520202033e3,40.849704116639316,14.252615113402516,Bar,San Lorenzo
Re Lazzarone,59071b85dd12f8527b5bfe11,40.852588,14.251698999999999,Restaurant,San Lorenzo
Alter Ego,542873a5498eefacefae22ee,40.85085457754722,14.25189494439575,Music Venue,San Lorenzo
Il Birraiuolo - Craft Beer Bar,54d3e89e498eb8dbbdf758e5,40.8504222885865,14.250740110874176,Beer Bar,San Lorenzo
Mexico,4c7b9f6197028cfa324ce1fe,40.84930825054036,14.249967250463845,Café,San Giuseppe
Bourbon Street Jazz Club,4d41da22e6b788bf7dc348f4,40.850241718392674,14.25074815750122,Jazz Club,San Lorenzo
Caffè Letterario,4f6624f9e4b075c714bc9046,40.84996635890539,14.252078678217867,Café,San Lorenzo
Leon d'Oro,4c780a92794e224bd0cd6028,40.848775656454464,14.25009437286629,Italian Restaurant,San Giuseppe
Un SorRiso Integrale,4cf10fa7c9af6dcbd7e5967f,40.84985760845529,14.252396610171127,Vegetarian / Vegan Restaurant,San Lorenzo
Il Taschino,50143f61e4b097af8a7e5861,40.84990468531539,14.252115471786931,Pub,San Lorenzo
Galleria 19,4d45df61e198721ee726ca8b,40.848670186450455,14.252520231652744,Nightclub,San Giuseppe
Leopoldo,5117b129e4b0810630d4bd77,40.847912257599354,14.249535221515195,Dessert Shop,San Giuseppe
Pizzeria Vesi,4d4d552e9ee1a35db06e24df,40.84985608989045,14.253766664926353,Pizza Place,San Lorenzo
La Cantina di Via Sapienza,4ca33126d7c33704467c9e62,40.85177722674293,14.253944704284944,Italian Restaurant,San Lorenzo
Cinema Modernissimo,4c1d0606fcf8c9b6d903ab0b,40.84778253847424,14.249830258601392,Multiplex,San Giuseppe
La Tana dell'Arte,4f1b2306e4b0889e04fdda11,40.85157750886353,14.250426972696395,Pizza Place,San Lorenzo
Volver Café,4d5f04aae4fe54818ecb6e9e,40.850075291485325,14.250645797564292,Nightclub,San Lorenzo
Costantinopoli 104 Hotel,4bd760b7304fce72f07933ab,40.85045007500442,14.251074851161286,Hotel,San Lorenzo
Bar Pricipe di Napoli,52cbf4b3498e832b804355a6,40.853343563261866,14.2514463858764,Café,Stella
Vicoletti & Soriano 44,4df4943b88772e1f8157b5b4,40.8497872474124,14.248902797698975,Bed & Breakfast,Avvocata
Le Stanze Del Vicere,4bd84c8b2ecdce7265b5d0f2,40.85638028175777,14.249050312159385,Hotel,Stella
Nuovo Teatro Sanità,526abb4911d2a44e2eb31a08,40.85941512746785,14.247619500444216,Theater,Stella
Fermata ANM - Via Imbriani,4c68dbe7897b1b8df0dbad17,40.85436515125049,14.241729475552109,Bus Station,Avvocata
Parco Sociale Ventaglieri,5001cfc9e4b077d34feab314,40.84968910031985,14.244093632352396,Park,Avvocata
Catacombe San Gaudioso,5178fc3ae4b09dfb1828f2e0,40.85960033243149,14.248767421813293,Historic Site,Stella
Oliva da Carla e Salvatore,57d681e8498ea8849be4e924,40.85944,14.248870000000002,Pizza Place,Stella
Pescheria Azzurra,52282fcb498e5f7d327ae8f5,40.84670773585842,14.247122941328845,Fish Market,Montecalvario
Zen 2,4f268648e4b0acaffa37de8a,40.847371792927156,14.249834360737498,Japanese Restaurant,San Giuseppe
Pizzeria Da Carluccio,4de955b0b0fbcb7c9adaf330,40.87385848833589,14.211825459755016,Food,Chiaiano
Agribraceria Fattoria Carpineto,554bb4a4498ebfc81a702250,40.87573218960115,14.215412976352015,Steakhouse,Chiaiano
Hotel La Corte,57e63b38498e9471082d357b,40.875156,14.219570999999998,Hotel,Chiaiano
Old Foodball,4f6250e1e4b0800f628841ea,40.87417042554424,14.22123152909722,Soccer Stadium,Chiaiano
Pizzeria Pony Express,4e2a945681dc2a4dfd8d718a,40.86721722236897,14.214672446250914,Pizza Place,Chiaiano
Ristorante Pizzeria Da Ciro,4d776bf4a32ca1cd85621adb,40.867222999999996,14.214868,Italian Restaurant,Chiaiano
Kappa Fan Shop Napoli,5c4a20a956c89f002cda63ea,40.86629,14.2076,Clothing Store,Chiaiano
Ranch Palace Hotel,4df6562d18386ecb4e39f4c6,40.86822847266596,14.200244413142569,Hotel,Chiaiano
Palestra High Performance,59b9d75258002c35fe43abec,40.8706,14.203339999999999,Gym,Chiaiano
Shon club,4f23d8f6e4b05160ae28502c,40.870828,14.202907000000002,Food Court,Chiaiano
Arcadia,51cf5659498ee7d508c102b9,40.87464363790362,14.207335514332444,Steakhouse,Chiaiano
F.lli De Marinis Infissi,590b75ee9de23b76e2ab5f47,40.872004689640704,14.207306828836,Home Service,Chiaiano
la pulce,53b552a3498e55a100a602f2,40.8840397318301,14.226777823294912,Flea Market,Chiaiano
Villa Lucrezia,5bb276f2ee7120002c1bcd0b,40.88605,14.222679999999999,Event Space,Chiaiano
F.lli Puzone Macellai dal 1969 pub & steak House,58b6de144988da0d2ba01ae1,40.889084000000004,14.225279,Gastropub,Piscinola
Caffè Romano,4f8d8673e4b08101161aacc8,40.882855,14.230907,Café,Piscinola
Tavernetta Colauri,4da0afb0bf22a143a83889f8,40.87934460549255,14.210803715158224,Italian Restaurant,Chiaiano
Yume Sushibar & Restaurant,592f7cf7f5e9d71a33e0e056,40.88057,14.209229999999998,Restaurant,Chiaiano
Rane 2008,4fd73981e4b0269cfe88e491,40.88203649879407,14.218904079625734,Pool,Chiaiano
Mallardo,5436a369498efa4bed4888c7,40.87886861439753,14.195052743538113,Perfume Shop,Chiaiano
Paradina Scuola Calcio,50b1e088e4b03ca4f58901fa,40.885303,14.215369,Soccer Stadium,Chiaiano
Il Dolce Paradiso,5656f3b2498e9d79befde467,40.86846816289094,14.191550871711188,Dessert Shop,Chiaiano
Farmacia Camaldoli,58faf4ab35811b36857df661,40.86831,14.19476,Pharmacy,Chiaiano
Trincone,5b2278a6da7080002daa0d68,40.86828,14.19495,Home Service,Chiaiano
La Contessa,4d8e55c01d06b1f783a5463b,40.865568648308304,14.188877701649535,Italian Restaurant,Chiaiano
Agriturismo il Tirone,52559f9c498ed1fae16256eb,40.8929156522129,14.210599367114716,Italian Restaurant,Chiaiano
Sottopalco,585b83108cb34e1eede42b4c,40.8913156,14.216695499999998,Music Venue,Chiaiano
Metro Chiaiano (L1),4c76a95f1b30a09346bdf209,40.8906132682602,14.223201375637114,Metro Station,Piscinola
Corso Chiaiano,4f4b1a80e4b0156c3189c5c2,40.89149294218995,14.218659983463287,Stables,Chiaiano
Conad,5ca388fb49cf930038900b3a,40.8879000368,14.2152407393,Supermarket,Chiaiano
Bs Impianti Termoidraulici,5928cdd94a1cc037f208181c,40.888040000000004,14.21921,Construction & Landscaping,Chiaiano
La Taverna Del Giglio Rosso,4f2d9aabe4b0bd78b7098933,40.88795594474466,14.216349605458872,Pizza Place,Chiaiano
Antica Masseria Fioretti,539d917f498e62c55669c04a,40.890195,14.207968,Restaurant,Chiaiano
Macron Store,4f1154b9e4b0d85e52023bbd,40.81491252890174,14.189206879121457,Sporting Goods Shop,Fuorigrotta
Città del Gusto,4e28809d8877f9158a75c897,40.815657,14.186520000000002,Restaurant,Fuorigrotta
Circolo Napoli,4fd72398e4b06fc50d2aa631,40.815733,14.18702,Gaming Cafe,Fuorigrotta
Jennaro,513a3e8ce4b0146f72621af7,40.80856704711914,14.182597160339355,Pizza Place,Bagnoli
Cus Napoli,4de4ce3e18385df2b05bde91,40.81458615988876,14.19131249782367,Athletics & Sports,Fuorigrotta
Birra & bollicine,517451d6498e2885ec5ae4f6,40.82404346468028,14.202001736655236,Pub,Fuorigrotta
Babette,4c51e8af2543a5930122a784,40.82470012865733,14.203330276401616,Pub,Fuorigrotta
Pizzeria di Napoli,4d13b4422eb5a1433c16ba9f,40.82612970994163,14.203260871060133,Pizza Place,Fuorigrotta
Flannery,4d0a9e1a9a4437042b8fb467,40.82482843175475,14.20416115267071,Pub,Fuorigrotta
Bar Tico Mania,4c58956b67ac0f47ee33024c,40.82410442836907,14.196576381867235,Café,Fuorigrotta
PubLò,521fc23411d213f50a65e54f,40.824997297794155,14.199703075880235,Burger Joint,Fuorigrotta
Pizzaioli Veraci,4d14ae7281cea35dc8d2d4ec,40.82631453474823,14.20004383531346,Pizza Place,Fuorigrotta
Pizzeria Cafasso,4c337704a0ced13ab4ac166e,40.82366307812709,14.195433016802864,Pizza Place,Fuorigrotta
Bar Franco,4ca7d18e44a8224bd8591140,40.826424633244145,14.203171278412617,Café,Fuorigrotta
La Focaccia,4dc433db18508d58a4b91452,40.82435625387427,14.197307825088501,Pizza Place,Fuorigrotta
A Cammisa Do' Re,4da0ceae8c8d5941a7c13a0f,40.82709237048876,14.204974234266587,Pizza Place,Fuorigrotta
Hotel Serius,4decf87bb3ad083a33d96f88,40.826753543377954,14.199884079381327,Hotel,Fuorigrotta
Carrefour Market,4ca30ce05720b1f7d21c2eef,40.827018,14.198509,Supermarket,Fuorigrotta
OVS,4c99ca8878fc236a39b92f97,40.82654321112005,14.202227024803154,Clothing Store,Fuorigrotta
Blasius Cafè,4d22defe8629224bbcd52687,40.82569142583742,14.196000834015345,Café,Fuorigrotta
Campetti Lenci,4e0cbc221f6e9300e4e9560f,40.82460355624424,14.20496316860476,Soccer Field,Fuorigrotta
Bar De Bono,4fb0e478e4b01cbf310215f7,40.823847151580345,14.196324108870009,Café,Fuorigrotta
Fantasia Gelati,4dee75271850195b82963b82,40.82686000976346,14.204991262575623,Ice Cream Shop,Fuorigrotta
Piazza Italia,4ee8866a29c284f4bac479b5,40.827005191401,14.205082080329671,Plaza,Fuorigrotta
Centro Commmerciale Azzurro,56e1939e498eac868d5d402d,40.836303046479244,14.19137240664253,Department Store,Soccavo
H&M,56d32fa1498e63498ea5e022,40.836341,14.191734,Clothing Store,Soccavo
Pizzeria da Mario,4e05c6b8b3ad23ff53ff35f1,40.83548605065587,14.199872016906738,Pizza Place,Soccavo
Caffetteria Troncone,4cde6eb47e2e236a84327f1b,40.83456066830542,14.200494289398193,Café,Fuorigrotta
"Centro Commerciale ""Sanpaolo""",4da6dc954df0260c3e9aaff1,40.83604018529242,14.190722240388315,Shopping Mall,Soccavo
Blackwood Pub & Grill,4d6581217f84f04d64d301b5,40.80729431983843,14.195058419251033,Pub,Posillipo
Villa De Vita,4f9c14cfe4b0edc561220cee,40.80944206926107,14.195904102998686,Restaurant,Posillipo
Tiro assegno nazionale,4dce4f27183899ddfaceb9b9,40.814994154074434,14.194207064835775,Gun Range,Fuorigrotta
Sbarra,4ea206a29a527d6516e47bf6,40.81809551049546,14.187560999362205,Bakery,Fuorigrotta
Hotel Cristina Napoli,53349dc8498eed1dc95c287f,40.81977644796844,14.184538706189842,Hotel,Fuorigrotta
Tokyo 2,5320bf65498ec10f38732d5a,40.82002476152065,14.185048506973002,Japanese Restaurant,Fuorigrotta
One sushi,56197755498e5b08a8f00ed4,40.821419,14.185878,Sushi Restaurant,Fuorigrotta
JFK,55f07dc4498ec9886cda0807,40.82090746931129,14.184337400277231,Hotel,Fuorigrotta
Pizzeria La Bella Figliola,54022ff4498e493a19944bbd,40.820163,14.185360000000001,Pizza Place,Fuorigrotta
For o' Pont,4f8677d9e4b078b17b35d0f1,40.816303426216884,14.186052765935544,Plaza,Fuorigrotta
Napoli,53997d24498e67ef85f9e6b9,40.819879663805416,14.184553061320253,Bistro,Fuorigrotta
Metro Cavalleggeri Aosta (L2),4d07a91e26adb1f743f3e270,40.81992846641253,14.187805042402502,Metro Station,Fuorigrotta
Cumana Zoo-Edenlandia (L7),4e2d39a8a809f1b16421e3c1,40.82023733452638,14.183383955367244,Light Rail Station,Fuorigrotta
Parco Robinson,4e2200ebaeb702639536572e,40.821226421533545,14.183860677024665,Park,Fuorigrotta
Ciarly ristorante and Pizzaria,5064bb70e4b042e2cca54ce3,40.82324328994297,14.19329366182081,Italian Restaurant,Fuorigrotta
O' Murzillo,4d6e3b2938363704decba4d0,40.82676445305128,14.195512477016024,Mediterranean Restaurant,Fuorigrotta
Stadio San Paolo,4c4ef6dac1f5ef3b0a2059ab,40.82806639370559,14.192919731140135,Soccer Stadium,Fuorigrotta
Bar Santos,4c8d0db7f87e224ba7383a05,40.82361108185426,14.194705816039505,Café,Fuorigrotta
Hotel Palazzo Esedra,5187b734454aa7632a9cfbb2,40.824968210328606,14.19149223994025,Hotel,Fuorigrotta
Ristorante Pizzeria Bellafigliola,4c6da0624d24b60cd46bd6d8,40.8238389100989,14.194377335312463,Pizza Place,Fuorigrotta
La Sosta,4cd69444122ba1437c9033a1,40.823671005695,14.194698103491914,Pizza Place,Fuorigrotta
Bar Pikachu,4f4690e6e4b0ab39f5c2ed9e,40.822823895313675,14.1941843621209,Café,Fuorigrotta
Stazione Napoli Campi Flegrei (Rfi),5231db3711d2cf18f22c87af,40.82243868909285,14.19421568807563,Train Station,Fuorigrotta
Caseificio Costanzo,4c59311e6407d13a2496b128,40.826775580854786,14.19532299041748,Italian Restaurant,Fuorigrotta
Furgoncini fuori allo stadio solo durante le partite!,4dbede5d4df044e5251c3328,40.82208103343704,14.192248968959193,Food Truck,Fuorigrotta
La Porchetteria,4ddf9688b0fbefa198c82c21,40.82596972267425,14.196937092630133,Food,Fuorigrotta
Acciaieria Sonora,4dd688616365d68ffa7c4f03,40.8113495,14.175726999999998,Music Venue,Bagnoli
Bar degli azzurri,4f11542de4b0253d4c94683d,40.827981696063105,14.192986799032536,Coffee Shop,Fuorigrotta
Virgin Active Napoli Med,51111de2d63e13b8420f6d97,40.82281895176353,14.17733114379902,Gym / Fitness Center,Fuorigrotta
The Space Cinema,4bec4ef2fd60a59307d03af1,40.82194496938217,14.1771970983355,Multiplex,Fuorigrotta
Piscina Felice Scandone,4d4d2156869cf04d66fcd9ae,40.82205796079736,14.181012753214329,Pool,Fuorigrotta
Casa della Musica - Federico I,4d014cd62f03224bc7b55fe2,40.82066407177345,14.176916786642673,Concert Hall,Fuorigrotta
San Paolo ****,4bc8f793762beee1e2c03d38,40.82626581442842,14.180132075193699,Hotel,Bagnoli
Zoo Di Napoli,4ca303d7554b236a9fdb2248,40.823770591142896,14.181573562653787,Zoo,Fuorigrotta
Paddy's Pub,4ca6698ff47ea1437b616021,40.826492933125984,14.181845971371985,Pub,Bagnoli
Palabarbuto,4ce9543e595cb1f7f103ce14,40.822324270429625,14.17851715844112,Basketball Stadium,Fuorigrotta
Bowling Oltremare,4d7ac4aa7ed85481e8c56dd0,40.823433078677866,14.18361023322302,Bowling Alley,Fuorigrotta
Teatro Palapartenope,4d0cbb153905b1f70ee4954b,40.820716084717844,14.177714204132965,Theater,Fuorigrotta
Eatenjoy,52f15cc611d293bb2d082d5d,40.82193556512491,14.17628439667016,Burger Joint,Fuorigrotta
Villa Pizza,4d4be603e1ec6dcb645cd275,40.822275955567264,14.177621744452155,Pizza Place,Fuorigrotta
La Brasserie,4c9519a494a0236ab4099312,40.8204387376813,14.178163682503662,Pub,Fuorigrotta
Edenlandia,4cb0477adb32f04d2d42be4d,40.82216436040393,14.183253424715426,Theme Park,Fuorigrotta
Pizzeria d'Alfonso al Saltimbocca,4d93653bb053b60c9a948dcb,40.829428629956844,14.187112642307325,Pizza Place,Bagnoli
"Pizzeria da Michele ""i Condurro""",56818d2f498e18e1085ced53,40.827751,14.207514999999999,Pizza Place,Fuorigrotta
Be Boo,4e3472b318a82fdd656b5015,40.827724837917096,14.20754553392078,Cupcake Shop,Fuorigrotta
Burger King,5acbc7151f74400705d5ad29,40.836308,14.191092499999998,Fast Food Restaurant,Soccavo
Hotel Nuvò Napoli,4ff946c1e4b0cfb37086070b,40.81721814400108,14.17575971010868,Hotel,Bagnoli
Pizzeria Da Armando,4cf6325d64e3721eebb11fc8,40.81759606530912,14.17739669422905,Italian Restaurant,Fuorigrotta
Cinema La Perla,4cba1f92adcd5481193421a2,40.81954778404571,14.17507790416242,Movie Theater,Fuorigrotta
La Voglia Calda,4db082a743a1bea42bb7732d,40.817354540515225,14.175663306469483,Food,Bagnoli
Conad,517fb379e4b02737165e725f,40.81723220000001,14.176185,Supermarket,Fuorigrotta
Best Western JFK Hotel,5916a0a1bfc6d00246b95d77,40.82081776174567,14.184601017196655,Hotel,Fuorigrotta
Caravaggio Sporting Village,52408a03498e735e8d68cd97,40.83401017715283,14.202512557956586,Gym Pool,Fuorigrotta
Vapoforno,4f9a1736e4b035776710c545,40.81812563330641,14.18792422636472,Cupcake Shop,Fuorigrotta
Riserva Rooftop,5e0fb6b8342fd400087332ca,40.806940000000004,14.188857,Restaurant,Posillipo
Enoteca aTuttoVino,5944867789e4905dadee42b7,40.810109999999995,14.1975,Wine Shop,Posillipo
Pizzeria Add'o Guaglione,4d8a6e34d85f3704751efedb,40.83098288548728,14.20717090460052,Pizza Place,Fuorigrotta
culture residence,59a01f5714994653c1fd1d9c,40.827861999999996,14.207779,Hotel,Fuorigrotta
Conad,4c51479d250dd13a1202f17c,40.832054,14.206001,Supermarket,Fuorigrotta
Pizzeria Carminiello,50ddf8fbe4b0eb1fd9086d17,40.89206,14.261660000000001,Pizza Place,Secondigliano
La Pizza Da Gennaro,4e973603f79068de88ffa9ee,40.893347240913364,14.259043679598573,Pizza Place,Miano
Mcdonald’s Alla Birreria,5d83ccf685aecf000859b063,40.887113,14.255810999999998,Fast Food Restaurant,Miano
Gioielleria Esposito,4e506154d164978659d8db2f,40.8907095929217,14.262850284576414,Jewelry Store,Secondigliano
villa di piscinola,4e27f21445ddfe8f9dec9eb3,40.886424970344,14.249038956454811,Park,Miano
Monte San Costanzo - Santuario San Costanzo,4e4ea00362844166698274c3,40.88608029668993,14.251372572583161,Scenic Lookout,Miano
Bosco di Capodimonte,51dfe959498e46f15716a7a2,40.88375654281582,14.249271748577812,National Park,Miano
CONAD SUPERSTORE,5d0604f62db4a9002caf5dba,40.88549794,14.25555664,Supermarket,Miano
cornetteria,4f6e5e97e4b0e0075b7fcee7,40.88626848419624,14.258884688776911,Dessert Shop,Miano
Hotel Barbato,4e47f4c345dd2955e5ab9b91,40.894731723534065,14.258935792950444,Hotel,Secondigliano
Hotel Fiorentina,57c8298d498e497bde408203,40.896465,14.256935999999998,Hotel,Secondigliano
C.A.T. Isole di Avolio Pasquale,5ddbabb9251c1c000885f7d9,40.88965,14.26053,Other Repair Shop,Secondigliano
Fabbrica Peroni,4c13f50da5eb76b0ebecc0b7,40.88781749,14.25574105,Theater,Miano
Villa Pizza & Villa Green,5e7d65d3d4eccf0008cac33b,40.887402,14.256162,Pizza Place,Miano
Mc Gnack,51e072ac498e9c13b153ae8f,40.887308000000004,14.245830999999999,Sandwich Place,Miano
Planetwin365,5e5e0d8a3de308000865a63f,40.89044530573194,14.23880370677684,Betting Shop,Piscinola
Erreservice di Russo Giuseppe,59708996dee77066f33a1cb3,40.883860399999996,14.2669593,Garden Center,Secondigliano
Nereo Rocco,4e505d5318383eb2af2fc752,40.88439981326169,14.267601922961346,Baseball Field,Secondigliano
G&G Orologeria,4e607584d164ddd5e4e83918,40.89036894823602,14.263708591461182,Jewelry Store,Secondigliano
Il Gelato Mennella,55a6c2a5498e2f07cdd7f7a7,40.843627960558564,14.249008720159381,Ice Cream Shop,Montecalvario
Antica Capri,4f4947d6e4b0a644edb8a3f4,40.84194,14.24789,Italian Restaurant,Montecalvario
San Francesco Al Monte Hotel Naples,4bc88778dc55eee10f88e8ac,40.843206836018055,14.244564878660526,Hotel,Montecalvario
Spritz da Cammarota,4f64916ee4b09987d16634a3,40.8421160417837,14.247617923655538,Bar,Montecalvario
Ristorante La locanda del nero,4d480576bb482c0f34d944a3,40.84090026447199,14.24694952207481,Italian Restaurant,Montecalvario
Toledo station - Bed & Breakfast,525fb406498e85cfda85b2d6,40.84151617647875,14.248527950676944,Hotel,Montecalvario
Piazza Salvo d'Acquisto (Piazza Carità),4c8fbe4afbe58cfa47361cb9,40.84444956905126,14.249189335317435,Plaza,San Giuseppe
Antica Hosteria Toledo,4c5ac263f346c9281cbb4fca,40.840921830439655,14.248122442886867,Italian Restaurant,Montecalvario
Trattoria Da Nennella,4b8ed082f964a520cc3833e3,40.84199,14.2487,Italian Restaurant,Montecalvario
Palazzo Magnocavallo B&B,5278d76611d26928eab1a351,40.84441451495511,14.245855808258055,Bed & Breakfast,Montecalvario
NeapolitanTrips,58ce5084260327583b687cbc,40.842568543483175,14.250846809538992,Hostel,San Giuseppe
Largo San Martino,4c1045206b7e2d7fbc752735,40.844185611977956,14.240578534302184,Plaza,Vomero
Belvedere Di San Martino,556705f5498ee2d4feddae39,40.84416102480422,14.240650805666867,Scenic Lookout,Vomero
Palazzo Zevallos Stigliano,4c0108dfde3376b04c27f9a4,40.83980461632448,14.248414027821527,Art Museum,Montecalvario
Certosa di San Martino,4c9f5a2254c8a1cde10c964b,40.844174885990775,14.24067362545423,Church,Vomero
"Pizzeria ""al 22""",4dbee09f43a1d8504bc921c4,40.84542831504921,14.248256002380636,Pizza Place,Montecalvario
La Taverna del Buongustaio,4d4c86a35f9db60c42703650,40.845970824082436,14.248832769475255,Italian Restaurant,Montecalvario
Pizzeria da Attilio,4dbeefc06e810768bf991b96,40.84528772759621,14.248390650453286,Pizza Place,Montecalvario
Pintauro,4cb07d44eb65b1f7a4576ccd,40.839224207510384,14.24848035154776,Cupcake Shop,San Ferdinando
'Ntretella - Pizzeria Friggitoria,500af133e4b0bfba228c5052,40.83856606852565,14.247124911562427,Pizza Place,San Ferdinando
L'Angolino,51d48006498eddc3cd44f3a6,40.84209062371982,14.25154858896032,Italian Restaurant,San Giuseppe
Fantasia Gelati,4c0c14a27e3fc9280c4df682,40.84568599915437,14.249302425996465,Ice Cream Shop,San Giuseppe
6 small rooms,4ba69447f964a520f35f39e3,40.84569943338236,14.249971361575625,Hostel,San Giuseppe
Pepe Nero,5066e99fe4b073ee75da3b57,40.84412871306977,14.249214969976482,Restaurant,San Giuseppe
Il Garum,4ccc0dca566aa09317af1efd,40.84506,14.250420000000002,Italian Restaurant,San Giuseppe
Gelateria Della Scimmia,4c6e60b0d5c3a1cdde10c82b,40.84425314510168,14.24926039285575,Ice Cream Shop,San Giuseppe
Leopoldo Infante,540185c6498e30d5fcd063db,40.845045035719174,14.249204534557649,Dessert Shop,San Giuseppe
Gay-Odin,4c80ae436cc2b713fabf139b,40.84481347488872,14.248857265303547,Candy Store,Montecalvario
Pizzeria 900,4d3c28b1457cb60ca53aeda4,40.846236,14.249038,Pizza Place,Montecalvario
Mercato Pignasecca,4ddbc0c1091a19449efcdb1a,40.84615240763456,14.248164569895167,Market,Montecalvario
Ceraldi Caffè,4d54d50158856dcb6c8c426d,40.84440012671372,14.249093016030136,Café,Montecalvario
Burger King,55e1ac47498e3be4f6dea2cb,40.844366811202974,14.249606742781902,Fast Food Restaurant,San Giuseppe
Carrefour Express,51488a42e4b014f4896510e0,40.84223781345959,14.25140096230685,Convenience Store,San Giuseppe
Vodafone One,4d11f3fdffa36ea8346df5da,40.843820291106546,14.24928878216258,Electronics Store,San Giuseppe
Imperial Caffè,4c4952f71b430f4726ac60c3,40.844192,14.249443,Coffee Shop,San Giuseppe
Eagle Gym,4c852243d4e237041ac77f88,40.84590060231145,14.241857914687364,Gym,Montecalvario
Funicolare di Montesanto - Corso Vittorio Emanuele,4ca0f2ce0df79c74607a301a,40.846132394161636,14.242010592649455,Cable Car,Montecalvario
